word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,web_corpus_freq,arousal_std,valence_std,dominance_std,concretness_std,imageability_std,familiarity_std,aoa_std,semsize_std,gender_std,Words
sector,6,2.656,4.909,4.939,3.97,3.303,4.563,5.697,4.125,4.667,0,48746882.0,2.010,0.900,1.740,1.547,1.850,1.600,1.193,1.536,1.005,sector
secure,6,4.371,7.758,5.457,3.143,3.514,5.914,4.314,4.543,4.353,0,62287766.0,2.099,1.181,2.760,1.743,1.746,1.402,1.304,1.499,1.512,secure
sediment,8,3.033,4.719,4.697,5.273,4.313,3.515,6.229,2.613,4.455,0,4441599.0,1.760,1.179,1.058,1.710,1.911,1.987,1.098,1.474,0.891,sediment
seduce,6,7.5,6.063,6.061,2.546,3.613,5.31,6.097,4.656,2.667,0,586830.0,1.521,1.368,2.159,1.233,1.717,1.316,1.058,1.135,1.146,seduce
seduction,9,7.563,6.242,6.29,3.364,3.879,4.581,6.273,4.909,2.516,0,1296699.0,1.368,2.001,2.051,1.888,1.771,1.409,0.930,1.164,1.188,seduction
seed,4,4.758,6.273,5.656,6.323,6.2,5.207,2.849,2.061,3.407,0,17788166.0,1.558,1.286,1.314,0.963,1.046,1.349,1.048,1.774,1.284,seed
seek,4,4.824,5.594,5.125,3.281,2.75,5.161,3.943,3.375,3.625,0,24135344.0,1.524,0.931,1.615,1.586,1.275,1.322,1.530,1.576,0.696,seek
seesaw,6,4.057,6.059,4.606,6.559,6.429,5.059,2.0,3.706,3.706,0,117947.0,2.216,1.327,1.254,0.650,1.050,1.781,0.676,1.425,0.892,seesaw
seize,5,5.944,3.944,6.212,4.143,4.206,5.0,5.229,5.114,5.353,0,1908868.0,2.248,1.855,2.520,1.726,2.097,1.955,1.267,1.141,1.054,seize
seldom,6,3.091,3.933,3.968,2.375,2.636,4.031,5.879,2.938,3.807,0,2790565.0,1.525,1.237,1.787,0.927,1.839,1.845,1.249,1.435,1.148,seldom
select,6,3.706,5.382,6.529,3.471,3.0,6.406,3.471,3.576,3.727,1,168673045.0,1.856,1.164,1.311,1.667,1.894,0.824,1.266,1.457,0.617,select
selection,9,4.353,5.303,5.853,4.147,3.371,5.412,4.229,4.486,3.714,0,75196717.0,1.954,1.058,1.833,1.647,1.605,1.191,1.354,1.556,0.740,selection
selfish,7,4.824,2.235,5.412,3.029,3.091,6.031,3.824,4.788,4.441,0,1867831.0,2.268,0.842,2.475,1.618,1.525,1.104,1.070,1.451,1.063,selfish
sell,4,4.543,5.343,6.235,4.343,4.257,6.152,2.914,3.647,4.257,0,137696613.0,2.156,1.120,1.716,1.788,1.713,0.989,0.937,1.234,0.691,sell
semester,8,3.938,5.097,3.844,4.031,2.594,5.519,6.156,4.613,4.129,0,16610313.0,1.936,1.467,1.752,1.776,1.247,1.751,1.093,1.600,0.553,semester
send,4,3.882,5.485,5.667,3.735,3.606,6.469,2.824,3.636,3.807,0,274103587.0,1.875,1.048,1.450,1.596,1.455,0.661,1.175,0.948,0.780,send
senior,6,3.677,5.29,5.323,4.531,4.167,5.333,4.219,4.469,4.656,0,56934903.0,1.614,1.275,1.873,1.414,1.551,1.333,1.138,1.199,1.019,senior
sensation,9,7.677,7.029,5.5,2.324,3.515,5.094,5.353,5.371,2.697,0,3346679.0,1.322,1.276,2.118,1.344,1.617,1.774,1.234,1.333,1.058,sensation
sensational,11,6.853,7.667,6.333,2.5,3.029,5.063,5.147,5.281,3.0,0,1202129.0,1.683,1.198,1.491,1.377,1.543,1.819,1.167,1.281,0.888,sensational
sense,5,5.857,6.257,6.029,2.529,2.857,6.188,3.514,4.706,3.2,1,52629633.0,2.002,1.078,1.828,1.419,1.775,0.882,1.180,1.654,1.327,sense
sensible,8,4.032,6.906,6.032,2.484,2.875,5.37,4.25,3.968,2.714,0,3503935.0,1.892,1.234,2.117,1.132,1.495,1.337,0.968,1.204,1.030,sensible
sensitive,9,5.206,5.677,3.455,2.576,3.188,6.033,3.969,3.824,2.118,0,18984710.0,2.298,1.890,1.559,1.181,1.158,1.140,1.212,1.485,0.932,sensitive
sensual,7,6.882,7.364,6.344,3.061,3.719,5.125,6.091,4.656,2.364,0,2121425.0,2.246,1.251,1.670,1.740,1.956,1.596,1.026,1.449,1.068,sensual
sentence,8,3.469,5.0,5.194,5.063,5.469,6.467,2.939,3.156,3.813,1,14359872.0,1.520,0.612,1.712,1.519,1.581,0.921,0.851,1.372,0.390,sentence
sentiment,9,4.656,6.333,5.424,2.273,3.0,5.0,5.853,4.727,2.469,0,2460011.0,1.946,1.682,1.724,1.483,1.984,1.820,1.240,1.523,0.901,sentiment
sentimental,11,5.588,6.706,4.588,2.394,2.794,5.344,5.647,4.941,1.971,0,1113911.0,1.849,1.637,2.184,1.347,1.677,1.533,0.936,1.552,0.857,sentimental
septic,6,4.177,2.849,3.667,4.588,3.714,3.182,6.394,3.576,4.529,0,2044503.0,2.022,1.617,1.804,1.665,2.036,1.946,0.776,1.181,1.064,septic
